Gene,cor_Sinorhizobium_meliloti_1021.ASM696v1.46,cor_Sinorhizobium_meliloti_2011.swap,cor_Sinorhizobium_meliloti_bl225c.ASM14777v3.46
nadD-1,SMc03778,SM2011_c03778,SinmeB_2932
imuB-1,SMc03789,SM2011_c03789,SinmeB_2942
group_104,SMc03899,SM2011_c03899,SinmeB_3049
group_105,SMa0151,SinmeB_5482,SinmeB_5482
group_107,SMa5017,SinmeB_6526,SinmeB_6526
group_109,SMa0357,SinmeB_6508,SinmeB_6508
group_111,SMa0522,SinmeB_6440,SinmeB_6440
group_113,SMa0535,SinmeB_6434,SinmeB_6434
group_115,SMa0609,SinmeB_5726,SinmeB_5726
group_118,SMa0636,SinmeB_5749,SinmeB_5749
group_120,SMa0659,SinmeB_5804,SinmeB_5804
group_121,SMa0713,SinmeB_5837,SinmeB_5837
group_132,SMa5009,SinmeB_6322,SinmeB_6322
group_135,SMa1593,SinmeB_6383,SinmeB_6383
group_136,SMa1890,SinmeB_5102,SinmeB_5102
group_138,SMa1902,SinmeB_5108,SinmeB_5108
group_140,SMa1973,SinmeB_5160,SinmeB_5160
group_142,SMa2089,SinmeB_5644,SinmeB_5644
group_145,SM_b21551,SM2011_b21551,SinmeB_3680
group_146,SMa2315,SinmeB_5334,SinmeB_5334
group_149,SM_b20032,SM2011_b20032,SinmeB_4634
group_15,SM_b21398,SM2011_b21398,SinmeB_5004
group_150,SM_b20048,SM2011_b20048,SinmeB_4617
group_151,SM_b20096,SM2011_b20096,SinmeB_4568
group_152,SM_b20097,SM2011_b20097,SinmeB_4567
group_154,SM_b22002,SM2011_b22002,SinmeB_4448
group_159,SM_b20412,SM2011_b20412,SinmeB_4263
group_161,SM_b20516,SM2011_b20516,SinmeB_4168
group_164,SM_b20533,SM2011_b20533,SinmeB_4155
group_166,SM_b20557,SM2011_b20557,SinmeB_4128
mocD-1,SM_b20818,SM2011_b20818,SinmeB_4107
mocF-1,SM_b20820,SM2011_b20820,SinmeB_4105
group_17,SMc00612,SM2011_c00612,SinmeB_0807
"rkpR,kpsE-1",SM_b20831,SM2011_b20831,SinmeB_4085
group_171,SM_b21015,SM2011_b21015,SinmeB_4071
group_172,SM_b21022,SM2011_b21022,SinmeB_4065
group_173,SM_b21041,SM2011_b21041,SinmeB_4046
pepT-1,SM_b21042,SM2011_b21042,SinmeB_4045
group_177,SM_b21055,SM2011_b21055,SinmeB_4017
group_178,SM_b21058,SM2011_b21059,SinmeB_4014
group_181,SM_b21064,SM2011_b21063,SinmeB_4010
group_182,SM_b21067,SM2011_b21067,SinmeB_4007
group_183,SM_b21257,SM2011_b21257,SinmeB_3901
group_185,SM_b21268,SM2011_b21269,SinmeB_3891
hutI-1,SM_b21166,SM2011_b21166,SinmeB_3831
group_188,SM_b21352,SM2011_b21352,SinmeB_3739
group_189,SM_b21541,SM2011_b21541,SinmeB_3689
pgiA2-1,SM_b20857,SM2011_b20857,SinmeB_3523
group_191,SM_b20884,SM2011_b20884,SinmeB_3493
group_192,SM_b21431,SM2011_b21432,SinmeB_4965
