Gene,cor_Sinorhizobium_meliloti_1021.ASM696v1.46,cor_Sinorhizobium_meliloti_ak83.ASM14779v3.46,cor_Sinorhizobium_meliloti_bl225c.ASM14777v3.46
group_1000,SM_b20449,Sinme_3735,SinmeB_4231
group_1001,SM_b20455,Sinme_3729,SinmeB_4225
group_1002,SM_b20456,Sinme_3728,SinmeB_4224
group_1003,SM_b20457,Sinme_3727,SinmeB_4223
group_1004,SM_b20458,Sinme_3726,SinmeB_4222
group_1005,SM_b20460,Sinme_3724,SinmeB_4220
group_1006,SM_b20462,Sinme_3722,SinmeB_4218
group_1007,SM_b20475,Sinme_3716,SinmeB_4211
group_1008,SM_b20478,Sinme_3713,SinmeB_4208
group_1009,SM_b20489,Sinme_3702,SinmeB_4197
group_1010,SM_b22020,Sinme_3700,SinmeB_4195
group_1011,SM_b20504,Sinme_5263,SinmeB_4180
tfxG-1,SM_b20505,Sinme_5262,SinmeB_4179
group_1013,SM_b20513,Sinme_5255,SinmeB_4172
group_1015,SM_b20516,Sinme_5252,SinmeB_4168
group_1016,SM_b20517,Sinme_6836,SinmeB_5601
group_1018,SM_b20532,Sinme_5241,SinmeB_4156
group_1019,SM_b20534,Sinme_5239,SinmeB_4154
group_1020,SM_b20535,Sinme_5238,SinmeB_4153
group_1021,SM_b20536,Sinme_5237,SinmeB_4152
cyaF6-1,SM_b20539,Sinme_5233,SinmeB_4148
group_1023,SM_b20551,Sinme_5222,SinmeB_4136
group_1024,SM_b20554,Sinme_5218,SinmeB_4133
group_1026,SM_b20563,Sinme_5209,SinmeB_4122
group_1027,SM_b20805,Sinme_5206,SinmeB_4119
group_1028,SM_b20807,Sinme_5204,SinmeB_4117
group_1030,SM_b20814,Sinme_5197,SinmeB_4110
group_1031,SM_b20817,Sinme_5134,SinmeB_4108
group_1032,SM_b20821,Sinme_5130,SinmeB_4104
kpsM OR rkpT1-1,SM_b20833,Sinme_5122,SinmeB_4083
algI-1,SM_b20843,Sinme_5087,SinmeB_4074
group_1040,SM_b21040,Sinme_5060,SinmeB_4047
exoI2-1,SM_b21662,Sinme_5051,SinmeB_4036
group_1053,SM_b21089,Sinme_5028,SinmeB_3988
group_1054,SM_b21092,Sinme_5025,SinmeB_3985
argH2-1,SM_b21094,Sinme_5023,SinmeB_3983
group_1056,SM_b21095,Sinme_5022,SinmeB_3982
group_1057,SM_b21096,Sinme_5021,SinmeB_3981
group_1058,SM_b21097,Sinme_5020,SinmeB_3980
group_1059,SM_b21098,Sinme_5019,SinmeB_3979
group_1060,SM_b21100,Sinme_5018,SinmeB_3978
group_1062,SM_b21105,Sinme_5014,SinmeB_3973
manR-1,SM_b21107,Sinme_5012,SinmeB_3971
group_1064,SM_b21108,Sinme_5011,SinmeB_3970
group_1065,SM_b21109,Sinme_5010,SinmeB_3969
group_1066,SM_b21115,Sinme_5004,SinmeB_3963
hmgL-1,SM_b21125,Sinme_4996,SinmeB_3955
group_1068,SM_b21128,Sinme_4993,SinmeB_3952
cysA2-1,SM_b21130,Sinme_4991,SinmeB_3950
group_1070,SM_b21134,Sinme_4987,SinmeB_3946
group_1071,SM_b21136,Sinme_4985,SinmeB_3944
group_1072,SM_b21139,Sinme_4982,SinmeB_3941
group_1073,SM_b21140,Sinme_4981,SinmeB_3940
group_1074,SM_b21230,Sinme_4966,SinmeB_3925
group_1075,SM_b21231,Sinme_4965,SinmeB_3924
group_1076,SM_b21236,Sinme_4962,SinmeB_3921
group_1077,SM_b21242,Sinme_4957,SinmeB_3916
group_1078,SM_b21243,Sinme_4956,SinmeB_3915
exoF3-1,SM_b21245,Sinme_4954,SinmeB_3913
group_1080,SM_b21249,Sinme_4950,SinmeB_3909
group_1081,SM_b21250,Sinme_4949,SinmeB_3908
group_1082,SM_b21251,Sinme_4948,SinmeB_3907
group_1083,SM_b21252,Sinme_4947,SinmeB_3906
group_1084,SM_b21256,Sinme_4943,SinmeB_3902
group_1085,SM_b21263,Sinme_4937,SinmeB_3896
