strain,coef,id,replicon,baseMean,log2FoldChange,lfcSE,pvalue,padj
1021,condition_camporegio_vs_blank,SMc02575,Chromosome,350.6400851768644,1.9236022969111264,0.4185320465120732,2.405512174506159e-07,2.4803177360304358e-06
1021,condition_camporegio_vs_blank,SMc02576,Chromosome,318.66162433209536,1.6307965815333048,0.2779209611626682,2.418093910472287e-10,3.475068104199975e-09
1021,condition_camporegio_vs_blank,SMc02582,Chromosome,337.2921557528598,1.1827913683717035,0.19326755416771105,1.530470424915461e-11,2.3743353105798575e-10
1021,condition_camporegio_vs_blank,SMc02615,Chromosome,57.931732538533105,-1.4013172629230928,0.4807688425101486,7.110692078444186e-05,0.0004897131640878716
1021,condition_camporegio_vs_blank,SMc02854,Chromosome,136.3518891191087,-1.3015513520999065,0.34943302422161604,3.7613409656579177e-06,3.324265282017877e-05
1021,condition_camporegio_vs_blank,SMc02857,Chromosome,8810.940160673754,1.2940749012193764,0.25121645070116005,5.024328422287665e-09,6.388074708337173e-08
1021,condition_camporegio_vs_blank,SMc02866,Chromosome,94.0614839969672,1.0260313442756877,0.2839210255271138,6.859131472418593e-06,5.7897460831247116e-05
1021,condition_camporegio_vs_blank,SMc02868,Chromosome,323.18417572825695,1.4610050462138453,0.28387574611684097,7.533586108689256e-09,9.413271509699656e-08
1021,condition_camporegio_vs_blank,SMc02882,Chromosome,198.3648581851345,1.0276761654379791,0.30008762254584753,1.4367072151334484e-05,0.0001153230332653795
1021,condition_camporegio_vs_blank,SMc02890,Chromosome,120.06991362854606,1.3768494308934454,0.3160387539819113,2.8127614498200694e-07,2.85954686070886e-06
1021,condition_camporegio_vs_blank,SMc02911,Chromosome,511.0979347078192,1.6792419284226738,0.17870668312292573,7.158285990444172e-22,2.4347370293598207e-20
1021,condition_camporegio_vs_blank,SMc00320,Chromosome,26.15852047758987,1.2130196948437224,0.5460801788389906,0.0006324528256664084,0.0035491517528824
1021,condition_camporegio_vs_blank,SMc00321,Chromosome,52.79352724876546,1.4280963101763806,0.423368137274507,1.5262592839945026e-05,0.00012212481620984405
1021,condition_camporegio_vs_blank,SMc00324,Chromosome,2978.9791715093634,1.223504825988062,0.12826869403539234,2.726405628399328e-23,9.950399822208483e-22
1021,condition_camporegio_vs_blank,SMc00332,Chromosome,409.7385885205974,1.106751932687607,0.26745720935701023,6.569072816358391e-07,6.2996042339104175e-06
1021,condition_camporegio_vs_blank,SMc00335,Chromosome,7528.771673537096,1.5247366583407127,0.12221715283936345,9.619411444805705e-37,7.999881026147433e-35
1021,condition_camporegio_vs_blank,SMc00362,Chromosome,2035.2681728527527,1.1530474911651944,0.18348933607176696,5.2205405569876415e-12,8.380950077720983e-11
1021,condition_camporegio_vs_blank,SMc00365,Chromosome,341.67784686227463,1.2341645479019878,0.1612791489668115,3.6233088416830415e-16,8.097376984078446e-15
1021,condition_camporegio_vs_blank,SMc00371,Chromosome,121.43907735096278,-1.476078744205393,0.3292968712571518,1.9012528214922413e-07,1.988671250191782e-06
1021,condition_camporegio_vs_blank,SMc00397,Chromosome,100.0574513197798,1.0407823078508287,0.3783628383491644,0.00015362108299128702,0.0010004104672847226
1021,condition_camporegio_vs_blank,SMc00399,Chromosome,44.10840676630753,1.1699874809606654,0.442869748034711,0.00018555034088463566,0.0011930251955738359
1021,condition_camporegio_vs_blank,SMc00404,Chromosome,241.4499633415869,-1.1608900649078877,0.2621219798112304,1.6740242798291775e-07,1.7692344107444615e-06
1021,condition_camporegio_vs_blank,SMc01160,Chromosome,115.76351160220185,-2.1273703332469007,0.2398789227756009,1.4055352854100026e-19,4.121549423632914e-18
1021,condition_camporegio_vs_blank,SMc01159,Chromosome,209.96071550185792,-2.39659164203332,0.22356262509477348,1.2237689589206844e-27,5.69557791615104e-26
1021,condition_camporegio_vs_blank,SMc01142,Chromosome,653.3254543735421,1.2228936882097623,0.2374673957600485,4.5594630924807215e-09,5.855735764089797e-08
1021,condition_camporegio_vs_blank,SMc01106,Chromosome,449.6398201928552,1.534759171537917,0.2421862460054127,1.0717011241082733e-11,1.678006111913972e-10
1021,condition_camporegio_vs_blank,SMc01104,Chromosome,73.7773102109614,2.142160570736414,0.4200146710644483,2.8930829282524472e-08,3.4048542073456683e-07
1021,condition_camporegio_vs_blank,SMc01095,Chromosome,186.22815372334847,1.2203096802090436,0.2262822772540584,1.2028907861770022e-09,1.6448153526350223e-08
